Order_ID,Order_Date,Customer_ID,City,State,Category,Product,Quantity,Unit_Price_INR,Discount_Rate,Discount_Amount_INR,Shipping_Fee_INR,Net_Sales_INR,Sales_Channel,Payment_Method,Customer_Segment,Order_Status
ORD100046,2025-01-01,CUST10348,Chennai,Tamil Nadu,Home & Kitchen,Coffee Maker,3,11108.0,0.0,0.0,79,33403.0,Website,UPI,Returning Customer,Delivered
ORD100250,2025-01-01,CUST10477,Pune,Maharashtra,Beauty,Moisturizer,1,969.0,0.15,145.35,0,823.65,Website,UPI,Returning Customer,Delivered
ORD100371,2025-01-01,CUST10012,Kochi,Kerala,Fashion,Backpack,1,5467.0,0.0,0.0,49,5516.0,Marketplace,Cash on Delivery,Returning Customer,Delivered
ORD100577,2025-01-01,CUST10558,Kochi,Kerala,Electronics,Laptop,1,60598.0,0.0,0.0,49,60647.0,Website,Credit Card,New Customer,Delivered
ORD101015,2025-01-01,CUST10407,Indore,Madhya Pradesh,Home & Kitchen,Air Fryer,1,16004.0,0.15,2400.6,0,13603.4,Marketplace,UPI,New Customer,Delivered
ORD101491,2025-01-01,CUST10414,Kolkata,West Bengal,Home & Kitchen,Air Fryer,1,3940.0,0.2,788.0,0,3152.0,Mobile App,Credit Card,New Customer,Delivered
ORD100284,2025-01-02,CUST10384,Lucknow,Uttar Pradesh,Electronics,Smartphone,1,29240.0,0.0,0.0,149,29389.0,Mobile App,Credit Card,Returning Customer,Delivered
ORD100308,2025-01-02,CUST10238,Ahmedabad,Gujarat,Beauty,Hair Dryer,1,3199.0,0.1,319.9,149,3028.1,Marketplace,UPI,New Customer,Delivered
ORD101106,2025-01-02,CUST10370,Kolkata,West Bengal,Electronics,Tablet,1,4206.0,0.0,0.0,49,4255.0,Website,UPI,Returning Customer,Delivered
ORD101499,2025-01-02,CUST10289,Lucknow,Uttar Pradesh,Beauty,Moisturizer,1,1551.0,0.2,310.2,49,246.87,Mobile App,Cash on Delivery,VIP,Returned
ORD100460,2025-01-03,CUST10519,Delhi,Delhi,Beauty,Hair Dryer,1,5732.0,0.0,0.0,0,5732.0,Website,Cash on Delivery,New Customer,Delivered
ORD100776,2025-01-03,CUST10193,Bengaluru,Karnataka,Electronics,Tablet,1,38657.0,0.2,7731.4,0,30925.6,Website,UPI,New Customer,Delivered
ORD101429,2025-01-03,CUST10589,Mumbai,Maharashtra,Electronics,Headphones,2,45499.0,0.2,18199.6,0,72798.4,Mobile App,Credit Card,New Customer,Delivered
ORD101462,2025-01-03,CUST10193,Jaipur,Rajasthan,Sports,Yoga Mat,3,8862.0,0.2,5317.2,79,21347.8,Website,Credit Card,New Customer,Delivered
ORD101479,2025-01-03,CUST10513,Chennai,Tamil Nadu,Electronics,Smartwatch,2,50913.0,0.2,20365.2,149,81609.8,Website,Credit Card,Returning Customer,Delivered
ORD101571,2025-01-03,CUST10477,Kolkata,West Bengal,Home & Kitchen,Coffee Maker,1,14766.0,0.15,2214.9,0,0.0,Mobile App,UPI,Returning Customer,Cancelled
ORD101800,2025-01-03,CUST10344,Chennai,Tamil Nadu,Home & Kitchen,Mixer,1,15596.0,0.0,0.0,149,1452.99,Mobile App,Wallet,New Customer,Returned
ORD100440,2025-01-04,CUST10420,Lucknow,Uttar Pradesh,Home & Kitchen,Air Fryer,2,1322.0,0.0,0.0,49,2693.0,Mobile App,Debit Card,Returning Customer,Delivered
ORD100666,2025-01-04,CUST10483,Pune,Maharashtra,Fashion,Jacket,1,3978.0,0.1,397.8,0,3580.2,Website,Cash on Delivery,New Customer,Delivered
ORD100721,2025-01-04,CUST10555,Kolkata,West Bengal,Electronics,Laptop,1,40689.0,0.2,8137.8,0,32551.2,Mobile App,Debit Card,New Customer,Delivered
ORD100785,2025-01-04,CUST10277,Bengaluru,Karnataka,Sports,Running Shoes,2,5147.0,0.0,0.0,49,1483.78,Mobile App,Debit Card,Returning Customer,Returned
ORD100914,2025-01-04,CUST10169,Lucknow,Uttar Pradesh,Electronics,Smartwatch,1,62083.0,0.0,0.0,79,9413.86,Marketplace,Cash on Delivery,Returning Customer,Returned
ORD101099,2025-01-04,CUST10192,Mumbai,Maharashtra,Electronics,Tablet,1,3025.0,0.0,0.0,79,412.38,Mobile App,Cash on Delivery,Returning Customer,Returned
ORD101513,2025-01-04,CUST10155,Bengaluru,Karnataka,Home & Kitchen,Mixer,2,15243.0,0.0,0.0,49,0.0,Website,UPI,Returning Customer,Cancelled
ORD100878,2025-01-05,CUST10586,Ahmedabad,Gujarat,Home & Kitchen,Vacuum Cleaner,1,14663.0,0.0,0.0,149,14812.0,Website,Credit Card,Returning Customer,Delivered
ORD101848,2025-01-05,CUST10366,Chennai,Tamil Nadu,Sports,Football,1,9088.0,0.15,1363.2,0,0.0,Mobile App,UPI,VIP,Cancelled
ORD101874,2025-01-05,CUST10556,Kolkata,West Bengal,Fashion,T-Shirt,1,7150.0,0.0,0.0,0,1121.51,Mobile App,UPI,New Customer,Returned
ORD101035,2025-01-06,CUST10065,Kolkata,West Bengal,Sports,Dumbbells,1,7592.0,0.0,0.0,79,7671.0,Website,Credit Card,New Customer,Delivered
ORD101542,2025-01-06,CUST10214,Indore,Madhya Pradesh,Electronics,Headphones,1,6182.0,0.05,309.1,99,0.0,Mobile App,UPI,Returning Customer,Cancelled
ORD101968,2025-01-06,CUST10501,Pune,Maharashtra,Home & Kitchen,Cookware Set,2,2627.0,0.0,0.0,49,5303.0,Website,Net Banking,Returning Customer,Delivered
ORD100148,2025-01-07,CUST10510,Mumbai,Maharashtra,Sports,Football,1,6039.0,0.0,0.0,49,0.0,Website,UPI,New Customer,Cancelled
ORD100537,2025-01-07,CUST10233,Ahmedabad,Gujarat,Electronics,Headphones,1,37302.0,0.2,7460.4,149,29990.6,Marketplace,UPI,New Customer,Delivered
ORD101000,2025-01-07,CUST10416,Ahmedabad,Gujarat,Beauty,Shampoo,1,5101.0,0.0,0.0,0,5101.0,Mobile App,Credit Card,Returning Customer,Delivered
ORD101651,2025-01-07,CUST10461,Delhi,Delhi,Fashion,Backpack,1,2159.0,0.0,0.0,49,0.0,Marketplace,Credit Card,New Customer,Cancelled
ORD101779,2025-01-07,CUST10383,Delhi,Delhi,Fashion,T-Shirt,1,4582.0,0.0,0.0,49,4631.0,Website,Wallet,New Customer,Delivered
ORD100386,2025-01-08,CUST10485,Chennai,Tamil Nadu,Sports,Yoga Mat,1,4177.0,0.0,0.0,0,4177.0,Website,Cash on Delivery,Returning Customer,Delivered
ORD100556,2025-01-08,CUST10202,Kochi,Kerala,Beauty,Perfume,1,5320.0,0.2,1064.0,79,4335.0,Mobile App,Credit Card,Returning Customer,Delivered
ORD100712,2025-01-08,CUST10026,Kochi,Kerala,Electronics,Smartwatch,1,49613.0,0.0,0.0,49,8744.46,Website,UPI,New Customer,Returned
ORD100808,2025-01-08,CUST10410,Bengaluru,Karnataka,Beauty,Shampoo,1,1681.0,0.1,168.1,79,1591.9,Marketplace,Credit Card,Returning Customer,Delivered
ORD101258,2025-01-08,CUST10075,Ahmedabad,Gujarat,Fashion,Backpack,1,5318.0,0.0,0.0,0,401.61,Website,Credit Card,Returning Customer,Returned
ORD100111,2025-01-09,CUST10318,Indore,Madhya Pradesh,Fashion,Sneakers,2,847.0,0.05,84.7,79,1688.3,Mobile App,Debit Card,Returning Customer,Delivered
ORD100424,2025-01-09,CUST10267,Hyderabad,Telangana,Beauty,Hair Dryer,1,1380.0,0.0,0.0,0,0.0,Mobile App,Wallet,Returning Customer,Cancelled
ORD100438,2025-01-09,CUST10482,Kochi,Kerala,Home & Kitchen,Mixer,1,16482.0,0.0,0.0,99,0.0,Marketplace,Net Banking,VIP,Cancelled
ORD101749,2025-01-09,CUST10130,Bengaluru,Karnataka,Sports,Dumbbells,1,1500.0,0.0,0.0,79,1579.0,Website,Wallet,Returning Customer,Delivered
ORD101788,2025-01-09,CUST10450,Hyderabad,Telangana,Fashion,Backpack,1,4164.0,0.0,0.0,79,4243.0,Website,Debit Card,New Customer,Delivered
ORD100408,2025-01-10,CUST10340,Delhi,Delhi,Beauty,Moisturizer,1,2821.0,0.15,423.15,79,2476.85,Mobile App,UPI,New Customer,Delivered
ORD100447,2025-01-10,CUST10078,Lucknow,Uttar Pradesh,Electronics,Laptop,1,63953.0,0.0,0.0,0,63953.0,Website,UPI,New Customer,Delivered
ORD100535,2025-01-10,CUST10177,Kolkata,West Bengal,Fashion,T-Shirt,1,3113.0,0.1,311.3,99,2900.7,Marketplace,Credit Card,New Customer,Delivered
ORD100733,2025-01-10,CUST10540,Kolkata,West Bengal,Sports,Cricket Bat,1,2475.0,0.1,247.5,0,2227.5,Website,Credit Card,Returning Customer,Delivered
ORD101182,2025-01-10,CUST10407,Chennai,Tamil Nadu,Sports,Yoga Mat,1,10970.0,0.05,548.5,0,10421.5,Website,UPI,New Customer,Delivered
ORD101320,2025-01-10,CUST10009,Jaipur,Rajasthan,Fashion,Jeans,1,8447.0,0.0,0.0,49,1817.03,Website,Wallet,New Customer,Returned
ORD101635,2025-01-10,CUST10196,Kolkata,West Bengal,Electronics,Smartphone,2,17581.0,0.0,0.0,0,4345.92,Mobile App,UPI,VIP,Returned
ORD101637,2025-01-10,CUST10072,Indore,Madhya Pradesh,Sports,Running Shoes,1,10542.0,0.0,0.0,0,10542.0,Website,UPI,New Customer,Delivered
ORD101932,2025-01-10,CUST10553,Kolkata,West Bengal,Beauty,Hair Dryer,1,3617.0,0.0,0.0,79,3696.0,Website,Cash on Delivery,New Customer,Delivered
ORD100300,2025-01-11,CUST10112,Ahmedabad,Gujarat,Electronics,Laptop,1,52385.0,0.0,0.0,49,5890.33,Website,Cash on Delivery,Returning Customer,Returned
ORD101061,2025-01-11,CUST10387,Hyderabad,Telangana,Fashion,Sneakers,1,6901.0,0.0,0.0,49,6950.0,Mobile App,Debit Card,VIP,Delivered
ORD101703,2025-01-11,CUST10256,Ahmedabad,Gujarat,Sports,Cricket Bat,1,1045.0,0.0,0.0,0,1045.0,Website,Net Banking,Returning Customer,Delivered
ORD101936,2025-01-11,CUST10005,Mumbai,Maharashtra,Electronics,Laptop,1,5749.0,0.0,0.0,149,5898.0,Mobile App,Cash on Delivery,New Customer,Delivered
ORD101049,2025-01-12,CUST10299,Bengaluru,Karnataka,Sports,Football,1,3606.0,0.0,0.0,49,3655.0,Marketplace,Net Banking,Returning Customer,Delivered
ORD101217,2025-01-12,CUST10206,Pune,Maharashtra,Fashion,Sneakers,1,4633.0,0.0,0.0,49,4682.0,Marketplace,Credit Card,Returning Customer,Delivered
ORD101667,2025-01-12,CUST10325,Lucknow,Uttar Pradesh,Beauty,Face Wash,1,597.0,0.05,29.85,99,666.15,Website,Cash on Delivery,New Customer,Delivered
ORD101732,2025-01-12,CUST10056,Indore,Madhya Pradesh,Electronics,Smartwatch,1,7221.0,0.0,0.0,0,7221.0,Mobile App,Debit Card,Returning Customer,Delivered
ORD101793,2025-01-12,CUST10141,Chennai,Tamil Nadu,Home & Kitchen,Cookware Set,2,725.0,0.0,0.0,0,0.0,Marketplace,UPI,New Customer,Cancelled
ORD100866,2025-01-13,CUST10362,Indore,Madhya Pradesh,Electronics,Tablet,2,60590.0,0.0,0.0,149,121329.0,Marketplace,Debit Card,New Customer,Delivered
ORD100931,2025-01-13,CUST10341,Lucknow,Uttar Pradesh,Fashion,Backpack,3,6444.0,0.0,0.0,149,19481.0,Website,Cash on Delivery,Returning Customer,Delivered
ORD101225,2025-01-13,CUST10304,Mumbai,Maharashtra,Home & Kitchen,Coffee Maker,1,12777.0,0.1,1277.7,49,11548.3,Mobile App,Net Banking,Returning Customer,Delivered
ORD100745,2025-01-14,CUST10590,Pune,Maharashtra,Sports,Dumbbells,1,966.0,0.0,0.0,0,966.0,Website,Debit Card,Returning Customer,Delivered
ORD100782,2025-01-14,CUST10431,Hyderabad,Telangana,Home & Kitchen,Coffee Maker,1,1241.0,0.05,62.05,0,1178.95,Marketplace,Net Banking,New Customer,Delivered
ORD101676,2025-01-14,CUST10412,Hyderabad,Telangana,Electronics,Laptop,1,48583.0,0.0,0.0,79,0.0,Mobile App,Credit Card,New Customer,Cancelled
ORD101958,2025-01-14,CUST10295,Chennai,Tamil Nadu,Home & Kitchen,Air Fryer,1,17627.0,0.15,2644.05,149,1050.39,Mobile App,Credit Card,New Customer,Returned
ORD100519,2025-01-15,CUST10364,Ahmedabad,Gujarat,Sports,Dumbbells,1,4824.0,0.1,482.4,49,4390.6,Website,UPI,New Customer,Delivered
ORD101001,2025-01-15,CUST10378,Bengaluru,Karnataka,Home & Kitchen,Air Fryer,2,5999.0,0.2,2399.6,0,0.0,Marketplace,Cash on Delivery,New Customer,Cancelled
ORD101076,2025-01-15,CUST10289,Mumbai,Maharashtra,Electronics,Smartwatch,1,60060.0,0.1,6006.0,79,8805.81,Website,Cash on Delivery,New Customer,Returned
ORD100180,2025-01-16,CUST10260,Ahmedabad,Gujarat,Electronics,Headphones,3,31909.0,0.0,0.0,79,95806.0,Marketplace,Wallet,Returning Customer,Delivered
ORD100784,2025-01-16,CUST10349,Ahmedabad,Gujarat,Electronics,Tablet,1,46962.0,0.0,0.0,0,46962.0,Mobile App,Cash on Delivery,Returning Customer,Delivered
ORD100947,2025-01-16,CUST10113,Kochi,Kerala,Home & Kitchen,Mixer,3,3660.0,0.0,0.0,0,0.0,Mobile App,Debit Card,Returning Customer,Cancelled
ORD101248,2025-01-16,CUST10104,Pune,Maharashtra,Fashion,Backpack,1,1243.0,0.0,0.0,0,1243.0,Website,Cash on Delivery,New Customer,Delivered
ORD101343,2025-01-16,CUST10166,Kochi,Kerala,Electronics,Headphones,1,7884.0,0.0,0.0,0,768.73,Marketplace,Wallet,New Customer,Returned
ORD101503,2025-01-16,CUST10024,Kolkata,West Bengal,Fashion,T-Shirt,1,8933.0,0.05,446.65,49,8535.35,Marketplace,Debit Card,Returning Customer,Delivered
ORD101719,2025-01-16,CUST10488,Kochi,Kerala,Sports,Dumbbells,2,7665.0,0.1,1533.0,0,13797.0,Website,Debit Card,New Customer,Delivered
ORD101818,2025-01-16,CUST10274,Chennai,Tamil Nadu,Beauty,Face Wash,3,5714.0,0.15,2571.3,49,14619.7,Mobile App,Debit Card,New Customer,Delivered
ORD100257,2025-01-17,CUST10474,Lucknow,Uttar Pradesh,Sports,Yoga Mat,1,6800.0,0.2,1360.0,49,5489.0,Mobile App,UPI,Returning Customer,Delivered
ORD100772,2025-01-17,CUST10097,Jaipur,Rajasthan,Fashion,Jacket,1,6331.0,0.1,633.1,0,5697.9,Mobile App,Credit Card,Returning Customer,Delivered
ORD101080,2025-01-17,CUST10518,Jaipur,Rajasthan,Electronics,Tablet,1,63972.0,0.0,0.0,49,15709.88,Mobile App,Wallet,New Customer,Returned
ORD101137,2025-01-17,CUST10415,Kolkata,West Bengal,Beauty,Hair Dryer,1,2812.0,0.0,0.0,0,402.47,Website,Credit Card,Returning Customer,Returned
ORD100831,2025-01-18,CUST10517,Bengaluru,Karnataka,Electronics,Headphones,1,26292.0,0.0,0.0,0,26292.0,Marketplace,UPI,New Customer,Delivered
ORD100919,2025-01-18,CUST10563,Mumbai,Maharashtra,Home & Kitchen,Vacuum Cleaner,1,7278.0,0.05,363.9,49,6963.1,Website,UPI,Returning Customer,Delivered
ORD101207,2025-01-18,CUST10485,Pune,Maharashtra,Electronics,Smartphone,1,31294.0,0.1,3129.4,0,2559.86,Mobile App,Credit Card,Returning Customer,Returned
ORD101456,2025-01-18,CUST10209,Delhi,Delhi,Fashion,Jeans,2,5225.0,0.05,522.5,99,10026.5,Website,Credit Card,Returning Customer,Delivered
ORD101602,2025-01-18,CUST10132,Kolkata,West Bengal,Home & Kitchen,Cookware Set,1,8892.0,0.0,0.0,0,0.0,Mobile App,Wallet,New Customer,Cancelled
ORD101675,2025-01-18,CUST10363,Delhi,Delhi,Sports,Cricket Bat,1,11136.0,0.0,0.0,99,11235.0,Marketplace,UPI,Returning Customer,Delivered
ORD100160,2025-01-19,CUST10111,Pune,Maharashtra,Fashion,Sneakers,1,1206.0,0.05,60.3,99,0.0,Website,Debit Card,Returning Customer,Cancelled
ORD100274,2025-01-19,CUST10499,Jaipur,Rajasthan,Fashion,T-Shirt,1,3942.0,0.1,394.2,0,3547.8,Mobile App,Debit Card,New Customer,Delivered
ORD100426,2025-01-19,CUST10267,Hyderabad,Telangana,Sports,Yoga Mat,2,9265.0,0.05,926.5,0,17603.5,Mobile App,Debit Card,Returning Customer,Delivered
ORD100446,2025-01-19,CUST10325,Bengaluru,Karnataka,Fashion,Jacket,1,2356.0,0.0,0.0,0,2356.0,Website,Credit Card,New Customer,Delivered
ORD100937,2025-01-19,CUST10142,Delhi,Delhi,Home & Kitchen,Air Fryer,1,11817.0,0.2,2363.4,99,0.0,Website,Credit Card,New Customer,Cancelled
ORD101561,2025-01-19,CUST10298,Indore,Madhya Pradesh,Beauty,Perfume,1,1348.0,0.05,67.4,79,1359.6,Website,Credit Card,New Customer,Delivered
ORD101927,2025-01-19,CUST10578,Bengaluru,Karnataka,Sports,Cricket Bat,2,11331.0,0.0,0.0,0,0.0,Mobile App,Net Banking,New Customer,Cancelled
ORD101989,2025-01-19,CUST10118,Jaipur,Rajasthan,Home & Kitchen,Coffee Maker,1,8569.0,0.15,1285.35,99,0.0,Website,UPI,New Customer,Cancelled
ORD100701,2025-01-20,CUST10566,Lucknow,Uttar Pradesh,Sports,Football,1,1316.0,0.0,0.0,79,1395.0,Website,Cash on Delivery,Returning Customer,Delivered
ORD100744,2025-01-20,CUST10221,Bengaluru,Karnataka,Sports,Yoga Mat,1,2075.0,0.05,103.75,0,0.0,Mobile App,UPI,Returning Customer,Cancelled
ORD101186,2025-01-20,CUST10033,Pune,Maharashtra,Electronics,Smartwatch,1,43936.0,0.1,4393.6,0,0.0,Website,UPI,Returning Customer,Cancelled
ORD101254,2025-01-20,CUST10245,Bengaluru,Karnataka,Electronics,Tablet,2,44825.0,0.0,0.0,99,89749.0,Mobile App,Credit Card,New Customer,Delivered
ORD101390,2025-01-20,CUST10167,Pune,Maharashtra,Home & Kitchen,Air Fryer,1,1600.0,0.15,240.0,49,1409.0,Mobile App,Debit Card,New Customer,Delivered
ORD101982,2025-01-20,CUST10239,Kochi,Kerala,Sports,Running Shoes,1,6560.0,0.05,328.0,99,6331.0,Mobile App,Credit Card,VIP,Delivered
ORD100679,2025-01-21,CUST10263,Chennai,Tamil Nadu,Home & Kitchen,Mixer,1,5249.0,0.15,787.35,0,4461.65,Marketplace,UPI,New Customer,Delivered
ORD100818,2025-01-21,CUST10562,Pune,Maharashtra,Home & Kitchen,Cookware Set,1,2964.0,0.05,148.2,49,2864.8,Website,Net Banking,New Customer,Delivered
ORD101109,2025-01-21,CUST10580,Ahmedabad,Gujarat,Sports,Dumbbells,1,2598.0,0.05,129.9,49,2517.1,Marketplace,UPI,VIP,Delivered
ORD101298,2025-01-21,CUST10006,Lucknow,Uttar Pradesh,Fashion,T-Shirt,1,578.0,0.0,0.0,0,578.0,Mobile App,Credit Card,New Customer,Delivered
ORD101516,2025-01-21,CUST10077,Kochi,Kerala,Fashion,Jeans,1,5175.0,0.2,1035.0,0,4140.0,Website,UPI,New Customer,Delivered
ORD101585,2025-01-21,CUST10446,Hyderabad,Telangana,Electronics,Headphones,1,58377.0,0.15,8756.55,49,49669.45,Website,UPI,New Customer,Delivered
ORD101969,2025-01-21,CUST10150,Kolkata,West Bengal,Electronics,Smartwatch,2,59639.0,0.2,23855.6,0,95422.4,Marketplace,Credit Card,New Customer,Delivered
ORD100019,2025-01-22,CUST10027,Indore,Madhya Pradesh,Fashion,Jacket,1,8768.0,0.0,0.0,99,8867.0,Mobile App,Credit Card,Returning Customer,Delivered
ORD100104,2025-01-22,CUST10021,Bengaluru,Karnataka,Home & Kitchen,Cookware Set,1,15691.0,0.2,3138.2,0,0.0,Marketplace,Cash on Delivery,VIP,Cancelled
ORD100559,2025-01-22,CUST10246,Pune,Maharashtra,Electronics,Smartphone,1,38648.0,0.0,0.0,0,5073.45,Mobile App,Net Banking,VIP,Returned
ORD100942,2025-01-22,CUST10207,Mumbai,Maharashtra,Home & Kitchen,Vacuum Cleaner,2,14715.0,0.0,0.0,79,29509.0,Website,Net Banking,New Customer,Delivered
ORD101055,2025-01-22,CUST10026,Ahmedabad,Gujarat,Electronics,Laptop,1,1711.0,0.0,0.0,0,220.18,Website,Cash on Delivery,Returning Customer,Returned
ORD101382,2025-01-22,CUST10267,Delhi,Delhi,Sports,Football,1,10853.0,0.0,0.0,79,10932.0,Website,Credit Card,Returning Customer,Delivered
ORD101519,2025-01-22,CUST10472,Kochi,Kerala,Home & Kitchen,Air Fryer,1,15545.0,0.0,0.0,49,15594.0,Marketplace,Credit Card,New Customer,Delivered
ORD101810,2025-01-22,CUST10246,Indore,Madhya Pradesh,Electronics,Smartphone,2,40437.0,0.0,0.0,79,14891.27,Mobile App,Credit Card,Returning Customer,Returned
ORD101824,2025-01-22,CUST10403,Delhi,Delhi,Fashion,Sneakers,1,5964.0,0.0,0.0,79,893.69,Marketplace,Net Banking,New Customer,Returned
ORD100580,2025-01-23,CUST10419,Chennai,Tamil Nadu,Beauty,Shampoo,1,2061.0,0.0,0.0,0,0.0,Mobile App,Net Banking,New Customer,Cancelled
ORD101529,2025-01-23,CUST10177,Hyderabad,Telangana,Fashion,Backpack,1,2085.0,0.2,417.0,0,1668.0,Marketplace,Net Banking,Returning Customer,Delivered
ORD101555,2025-01-23,CUST10092,Mumbai,Maharashtra,Sports,Dumbbells,1,11415.0,0.0,0.0,79,11494.0,Marketplace,UPI,New Customer,Delivered
ORD101805,2025-01-23,CUST10287,Chennai,Tamil Nadu,Sports,Football,1,11083.0,0.15,1662.45,49,1602.96,Website,Debit Card,Returning Customer,Returned
ORD100395,2025-01-24,CUST10562,Jaipur,Rajasthan,Beauty,Hair Dryer,1,3769.0,0.0,0.0,0,452.13,Mobile App,UPI,New Customer,Returned
ORD100481,2025-01-24,CUST10243,Jaipur,Rajasthan,Electronics,Tablet,1,49502.0,0.05,2475.1,149,47175.9,Website,UPI,Returning Customer,Delivered
ORD101050,2025-01-24,CUST10267,Hyderabad,Telangana,Fashion,Backpack,1,6240.0,0.15,936.0,49,5353.0,Mobile App,UPI,New Customer,Delivered
ORD101870,2025-01-24,CUST10128,Mumbai,Maharashtra,Home & Kitchen,Mixer,2,12013.0,0.0,0.0,49,0.0,Mobile App,Credit Card,New Customer,Cancelled
ORD100144,2025-01-25,CUST10173,Mumbai,Maharashtra,Electronics,Headphones,1,8529.0,0.0,0.0,49,8578.0,Mobile App,Wallet,Returning Customer,Delivered
ORD100374,2025-01-25,CUST10370,Hyderabad,Telangana,Fashion,Backpack,1,5711.0,0.0,0.0,49,0.0,Website,Net Banking,Returning Customer,Cancelled
ORD100642,2025-01-25,CUST10146,Kolkata,West Bengal,Sports,Football,1,4003.0,0.0,0.0,99,4102.0,Marketplace,Cash on Delivery,Returning Customer,Delivered
ORD100875,2025-01-25,CUST10478,Kochi,Kerala,Home & Kitchen,Mixer,1,14258.0,0.0,0.0,0,14258.0,Mobile App,UPI,Returning Customer,Delivered
